Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis_link,0.00305918594889011,4.10901398799301E-05,0.0291032902496203,0,0,0,2.58008688539799,0.00301026346437423,5.09661302180347E-07,-8.30242615583723E-06,0.00350726709543376,1.4647196385913E-07,0.00286972970886794,0,0,0,0,0,0,package://robot8/meshes/pelvis_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/pelvis_link.STL,,pelvis_link_v2-1,s_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_pitch_link,0.0020993179633918,-0.0686944896672758,-0.0701802726887818,0,0,0,1.25585319651588,0.0032913194758447,9.62232677670763E-05,2.17298685738793E-05,0.00217731773574376,-0.000420650218943618,0.00163537705254433,0,0,0,0,0,0,package://robot8/meshes/right_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/right_hip_pitch_link.STL,,right_hip_pitch_link_v2-1,s_right_hip_pitch_link,a_right_hip_pitch_link,right_hip_pitch_joint,revolute,0.0074336,-0.11245,0.0042898,0.5236,0,0,pelvis_link,0,1,0,0,0,0,0,,,,,,,,
right_hip_roll_link,-0.030542424586395,9.34796304089547E-05,-0.0909462309547874,0,0,0,1.15476147614435,0.00150179915907691,-3.06462404481953E-17,2.18332818277527E-05,0.00125480264529007,6.48319863180912E-07,0.00172778278376363,0,0,0,0,0,0,package://robot8/meshes/right_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/right_hip_roll_link.STL,,right_hip_roll_link_v2-1,s_right_hip_roll_link,a_right_hip_roll_link,right_hip_roll_joint,revolute,0.0295,-0.07681,-0.080942,-0.5236,0,0,right_hip_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_hip_yaw_link,0.000137279805651452,0.00274028988395558,-0.0634716628194296,0,0,0,0.621436983311609,0.00102005527811765,1.34547258614575E-07,-8.30489381941613E-07,0.0014070743923986,-1.01057647666202E-05,0.000867861615423039,0,0,0,0,0,0,package://robot8/meshes/right_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/right_hip_yaw_link.STL,,right_hip_yaw_link_v2-1,s_right_hip_yaw_link,a_right_hip_yaw_link,right_hip_yaw_joint,revolute,-0.0295,0,-0.1463,0,0,0,right_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_knee_link,-0.00467033677177121,0.0329359724913804,-0.142110204273161,0,0,0,4.15965070815818,0.014437742939699,2.71860374487725E-08,3.50656323989832E-07,0.0176554172875995,2.33520742979486E-05,0.00407489643724661,0,0,0,0,0,0,package://robot8/meshes/right_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/right_knee_link.STL,,right_knee_link_v2-1,s_right_knee_link,a_right_knee_link,right_knee_joint,revolute,0,-0.032,-0.12269,0,0,0,right_hip_yaw_link,0,1,0,0,0,0,0,,,,,,,,
right_ankle_pitch_link,5.36441309949287E-09,-5.36441308041091E-09,0,0,0,0,0.0185240065010566,3.40806273526546E-06,-5.43886314073352E-19,-2.68009753476234E-13,3.40806273526546E-06,-2.68009752066136E-13,6.06751395301965E-06,0,0,0,0,0,0,package://robot8/meshes/right_ankle_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot8/meshes/right_ankle_pitch_link.STL,,right_ankle_pitch+roll_link_v2_v2-2/足部_v2-1/20-50十字轴承_v2-1,s_right_ankle_link,a_right_ankle_pitch_link,right_ankle_pitch_joint,revolute,-5.1941E-05,0.035,-0.4435,0,0,0,right_knee_link,0,1,0,0,0,0,0,,,,,,,,
right_ankle_roll_link,0.0129194532593344,5.80698551577719E-07,-0.0470277144993229,0,0,0,0.727924412880784,0.000275343379291203,-2.9195900570431E-09,4.46941829312223E-05,0.00202877454767203,1.201840708216E-09,0.00219680751300212,0,0,0,0,0,0,package://robot8/meshes/right_ankle_roll_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://robot8/meshes/right_ankle_roll_link.STL,,right_ankle_pitch+roll_link_v2_v2-2/足部_v2-1/092-十字轴承固定支架_v2-1;right_ankle_pitch+roll_link_v2_v2-2/足部_v2-1/092-十字轴承固定支架_v2-2;right_ankle_pitch+roll_link_v2_v2-2/足部_v2-1/091-脚部cnc_v2-1;right_ankle_pitch+roll_link_v2_v2-2/足部_v2-1/093-连杆连接件cnc_v2-1;right_ankle_pitch+roll_link_v2_v2-2/足部_v2-1/peba鞋底1_v2-1,s_right_ankle_link,a_right_ankle_roll_link,right_ankle_roll_joint,revolute,0,0,0,0,0,0,right_ankle_pitch_link,1,0,0,0,0,0,0,,,,,,,,
left_hip_pitch_link,0.00259585321735272,0.0687318930244752,-0.0697716444685645,0,0,0,1.25015171120794,0.00329193022308332,-9.62053095308916E-05,2.16930137718965E-05,0.00217503930159044,0.00042068420999049,0.00163385682009553,0,0,0,0,0,0,package://robot8/meshes/left_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/left_hip_pitch_link.STL,,left_hip_pitch_link_v2-1,s_left_hip_pitch_link,a_left_hip_pitch_link,left_hip_pitch_joint,revolute,0.0074336,0.11245,0.0042898,-0.5236,0,0,pelvis_link,0,1,0,0,0,0,0,,,,,,,,
left_hip_roll_link,-0.0305424245864058,9.34796304083718E-05,-0.090946230954788,0,0,0,1.15476147614435,0.00150179915907688,-1.98907248517993E-17,2.18332818277508E-05,0.00125480264529004,6.48319863182555E-07,0.00172778278376363,0,0,0,0,0,0,package://robot8/meshes/left_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/left_hip_roll_link.STL,,left_hip_roll_link_v2-1,s_left_hip_roll_link,a_left_hip_roll_link,left_hip_roll_joint,revolute,0.0295,0.07681,-0.080942,0.5236,0,0,left_hip_pitch_link,1,0,0,0,0,0,0,,,,,,,,
left_hip_yaw_link,0.000137279805640669,-0.00274028988395453,-0.0634716628194301,0,0,0,0.621436983311609,0.00102005527811764,-1.34552514246897E-07,-8.30489381941243E-07,0.0014070743923986,1.01057647666195E-05,0.000867861615423029,0,0,0,0,0,0,package://robot8/meshes/left_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot8/meshes/left_hip_yaw_link.STL,,left_hip_yaw_link_v2-1,s_left_hip_yaw_link,a_left_hip_yaw_link,left_hip_yaw_joint,revolute,-0.0295,0,-0.1463,0,0,0,left_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
